index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
277,Flavored rice and pasta mixture,Rice mixed dishes,3202,114.5,1,2.635,18.2,0.47,0.45,3.46,0.7685,1.535,1.002,0.5,30.5,32.5,0,29,0,0,19,0.124,0.043,1.238,0.0415,17,3.5,32,20.5,3.5,0.005,0,0.3,0.15,0.38,0,6.75,13.5,35,10.5,0.79,0.335,0.0585,8.45,48.5,206,0,0,0,74.76,0,1,3,311.25,181.75,,,2.635
278,Flavored rice mixture,Rice mixed dishes,3202,127,1,1.87,19.83,0.56,0.4,4.26,0.861,1.961,1.259,1,27,28,0,22,0,0,2,0.109,0.016,1.034,0.038,36,2,63,38,3.2,0.01,0,0.1,0.2,0.48,0,4.7,11,28,8,1.08,0.28,0.06,3.7,33,296,0,0,0,73.04,0,1,3,342.5,200.5,,,1.87
279,Flavored rice mixture with cheese,Rice mixed dishes,3202,124,1,2.99,25.22,1.8,0.6,1.2,0.599,0.256,0.228,3,2,2,0,1,0,0,23,0.067,0.206,1.707,0.122,19,17,49,36,23.2,0.19,0,0.5,0,0.17,0,7,47,113,29,1.46,0.48,0.065,8.5,102,389,0,0,0,68.79,0,1,3,335,196,,,2.99
280,Flounder with crab stuffing,Seafood mixed dishes,3006,136,0,15.07,5.73,0.85,0.3,5.52,1.209,2.125,1.519,73,45,50,0,56,1,0,63,0.069,0.08,1.794,0.118,6,19,30,26,81.9,1.51,0,1.8,2.5,1.27,0,14.5,64,270,26,0.72,1.18,0.192,33.5,210,427,0,0,0,71.64,0,1,6,433,282,,,15.07
283,French dip sandwich,Deli and cured meat sandwiches,3740,184,0,13.23,24.47,2.76,1.1,3.47,1.013,1.054,1.044,23,1,1,0,0,0,0,22,0.269,0.217,4.937,0.257,42,15,86,57,27.5,0.94,0,0,0,0.33,0,0.8,106,167,23,2.6,1.9,0.101,18.2,357,631,0,0,0,56.23,0,1,4,577,378,,,13.23
284,French toast,"Pancakes, waffles, French toast",4404,248,1,9.44,30.57,8.841428571,1.8,9.78,2.868142857,3.137714286,2.536,142.2857143,90.57142857,92.28571429,0,10.85714286,4.714285714,0,190.1428571,0.220428571,0.290142857,2.272857143,0.121142857,22.42857143,33.42857143,71.42857143,55.71428571,102.8,0.365714286,0,0.014285714,1.042857143,1.112857143,0,4.428571429,131.7142857,142.2857143,24.14285714,2.141428571,1,0.072142857,21.34285714,140.7142857,292.2857143,0,0,0,48.69428571,1,0,2,769,506,,,9.44
285,French toast sticks,"Pancakes, waffles, French toast",4404,280,1,7.91,37.25,9.32,1.933333333,11.28333333,2.487666667,5.167,2.512666667,32,23.33333333,23.66666667,0,2,1,0,63.33333333,0.289666667,0.220333333,2.721,0.093333333,30,86.33333333,124.3333333,103.3333333,40.2,0.173333333,0,0,0.366666667,0.98,0,9.8,95.66666667,121,28.33333333,2.036666667,0.826666667,0.096666667,15.4,148.6666667,417,0,0,0,41.82666667,1,0,2,865,570,,,7.91
286,Fried fish with sauce,Seafood mixed dishes,3006,155,0,11.81,3.42,1.7,0.8,10.3,1.974,6.369,1.1,39,6,15,9,100,1,2092,28,0.055,0.077,2.872,0.222,0,14,14,14,46,1.43,0,5.3,0.4,2.81,0,3.3,20,145,31,0.58,0.36,0.064,23.4,309,662,0,0,0,71.91,0,1,6,1265,785,,,11.81
287,Fried seafood sandwich,Seafood sandwiches,3730,234,0,11.32,24.67,1.91,1.1,9.82,1.514,3.696,3.855,68,28,28,0,0,0,0,21,0.274,0.136,3.127,0.113,42,19,89,60,50.4,0.5,0,0,0.1,2.24,0,8.2,107,177,23,1.82,0.88,0.152,24.8,113,439,0,0,0,52.07,0,1,6,1897,1180,,,11.32
291,Gefilte fish,Seafood mixed dishes,3006,82,0,10.39,8.74,0.5,0.4,0.41,0.07,0.055,0.147,28,1,1,0,0,0,0,2,0.115,0.072,1.348,0.083,14,8,31,21,40.7,1.07,0,0.5,0.3,0.33,0,0.1,10,183,16,0.68,0.28,0.035,15.4,171,453,0,0,0,79.12,0,1,6,681,420,,,10.39
292,Gnocchi,"Pasta mixed dishes, excludes macaroni and cheese",3204,156.5,0,5.475,13.29,0.565,0.6,9.145,3.882,2.8685,1.213,43,94,97,0,38,3,0,39.5,0.105,0.1225,0.879,0.064,10,8.5,26,18.5,25.05,0.185,0,0.95,0.45,0.435,0,4.15,95.5,92.5,12,0.845,0.62,0.052,7.8,111,271,0,0,0,70.885,0,1,5,494.5,323,,,5.475
293,Goose egg,Eggs and omelets,2502,224,1,12.94,1.27,0.89,0,18.09,4.847,7.385,3.199,799,197,200,0,23,11,0,412,0.11,0.339,0.159,0.246,0,53,53,53,196.9,3.8,0,0,1.6,2.06,0,5.1,57,194,15,3.4,1.24,0.058,34.4,197,256,0,0,0,66.37,1,0,4,697,458,,,12.94
295,Grape leaves stuffed with rice,Rice mixed dishes,3202,168,1,2.28,13.88,2.78,3.1,11.95,1.871,7.872,1.313,0,0,241,107,2835,2,0,464,0.066,0.089,0.889,0.126,13,24,47,38,5.8,0,0,5.6,0,2.87,0,58.5,89,41,26,1.25,0.34,0.12,1.7,152,166,0,0,0,70.85,0,1,3,445,262,,,2.28
296,Greek Salad,Vegetable dishes,3104,48,1,2.75,4.35,1.43,1.5,2.26,0.859,0.975,0.262,6,8,240,10,2777,2,238,1301,0.049,0.083,0.929,0.063,0,36,36,36,11.3,0.11,0,5.5,0.1,0.41,0,55.9,57,45,13,0.9,0.4,0.074,3.2,228,246,0,0,0,89.43,0,1,3,145,82,,,2.75
297,Green bean casserole,Vegetable dishes,3104,56,1,1.96,7.05,2.03,1.9,2.21,0.505,0.474,1.056,1,8,26,37,203,0,0,343,0.039,0.077,0.52,0.071,0,17,17,17,13.3,0.04,0,5.8,0.2,0.4,0,31.3,42,43,18,0.43,0.28,0.063,1.5,203,316,0,0,0,87.48,0,1,3,193,122,,,1.96
298,Grilled cheese sandwich,Cheese sandwiches,3720,339,1,12.22142857,27.11714286,4.368571429,1.885714286,20.22285714,9.649,4.896,2.665714286,46,187.2857143,193.5714286,0,71.42857143,2.714285714,0,31.57142857,0.204857143,0.267142857,2.534714286,0.226285714,24.28571429,23.42857143,64.71428571,47.57142857,20.14285714,0.432857143,0,0.042857143,1.828571429,1.245714286,0,7.571428571,393,305.2857143,31.42857143,1.848571429,1.558571429,0.090428571,20.01428571,153.7142857,715.8571429,0,0,0,37.14428571,0,1,2,1042,688,,,12.22142857
300,Guisada,Meat mixed dishes,3002,116.5,0,10.58,2.52,0.63,0.5,6.855,2.5865,3.052,0.539,37.5,1,52.5,207,514,1,216,62,0.124,0.124,2.0695,0.199,0,6.5,6.5,6.5,39.9,0.695,0,2.8,0.25,0.13,0,2.5,15,91.5,12.5,0.935,2.27,0.064,13.3,187,302.5,0,0,0,78.57,0,1,4,374.5,243,,,10.58
301,Gumbo,Seafood mixed dishes,3006,83,0,8.54,4.03,1.83,0.9,3.68,0.818,1.475,0.849,33,4,11,0,80,0,695,51,0.281,0.121,2.271,0.164,1,13,15,14,25.1,0.18,0,4.9,0.1,0.63,0,5.6,28,84,15,0.56,0.76,0.067,10.9,186,433,0,0,0,82.29,0,1,6,274,176,,,8.54
302,Gumbo with rice,Seafood mixed dishes,3006,89,0,8.16,6.55,1.7,0.9,3.43,0.764,1.373,0.793,30,4,10,0,74,0,643,47,0.276,0.113,2.248,0.161,6,12,23,19,23.5,0.16,0,4.5,0.1,0.59,0,5.2,26,82,15,0.64,0.75,0.069,10.9,176,400,0,0,0,80.46,0,1,6,247.5,143.5,,,8.16
303,Gyro sandwich,Meat and BBQ sandwiches,3742,184,0,11.24,18.78,1.74,1,6.76,2.519,2.836,0.548,29,4,9,10,62,2,422,33,0.22,0.189,3.274,0.117,25,16,59,41,33.6,0.86,0,3.5,0,0.33,0,3.7,46,107,18,1.48,1.97,0.098,16.3,205,323,0,0,0,61.97,0,1,4,577,378,,,11.24
309,Ham biscuit sandwich,Egg/breakfast sandwiches,3706,322,0,11.56,28.24,3.26,1.6,18.1,10.792,3.136,1.684,28,63,65,0,15,1,0,4,0.348,0.293,3.406,0.123,33,22,79,56,17.8,0.35,0,0,0.8,0.47,0,3.3,216,457,18,1.97,1.23,0.073,18,168,1023,0,0,0,38.4,1,0,4,1313,815,,,11.56
310,Ham croquette,Meat mixed dishes,3002,273,0,17.97,2.6,0.49,0.2,20.74,4.527,7.523,8.027,87,19,20,0,1,2,0,51,0.552,0.289,4.575,0.239,1,9,12,11,95.9,0.61,0,0.3,0.8,1.64,0,23,17,228,19,1.3,1.96,0.116,18.2,322,1176,0,0,0,55.55,0,1,4,844,556,,,17.97
314,Ham or pork salad,Meat mixed dishes,3002,230,0,13.26,2.83,2.06,0.4,18.09,3.337,4.743,9.418,37,3,12,7,90,18,0,80,0.358,0.15,2.677,0.257,0,11,11,11,61.2,0.39,0,0.7,0.5,0.89,0,44.3,16,127,14,0.58,1.39,0.054,13.6,227,989,0,0,0,62.95,0,1,5,2785,1390,,,13.26
315,Ham or pork with gravy,Meat mixed dishes,3002,160,0,20.15,1.58,0.09,0,7.49,2.636,3.316,0.651,58,2,2,0,0,0,0,0,0.716,0.245,4.19,0.392,0,1,1,1,69.6,0.51,0,0.4,0.5,0.17,0,0.2,16,179,20,0.79,1.79,0.047,24.6,309,349,0,0,0,69.46,0,1,5,1945,970,,,20.15
316,Ham or pork with mushroom sauce,Meat mixed dishes,3002,167,0,20.55,1.84,0.57,0.1,7.98,2.763,3.299,1.114,57,7,8,0,0,0,0,1,0.715,0.246,4.187,0.392,0,1,1,1,71.8,0.54,0,0.4,0.6,0.24,0,3.9,28,189,21,0.8,1.83,0.046,25.2,324,351,0,0,0,68.25,0,1,5,2029,1012,,,20.55
318,Ham or pork with tomato-based sauce,Meat mixed dishes,3002,153,0,20.3,1.59,1.06,0.4,6.8,2.458,3.024,0.566,56,1,8,0,73,1,3943,7,0.716,0.248,4.388,0.413,0,3,3,3,71.2,0.51,0,2.4,0.5,0.57,0,0.8,17,182,24,1.05,1.83,0.075,24.6,385,352,0,0,0,69.79,0,1,5,1861,928,,,20.3
319,Ham salad sandwich on wheat,Deli and cured meat sandwiches,3740,241,0,12.64,17.03,3.11,2.1,13.38,2.465,3.379,6.801,25,2,8,5,61,12,0,75,0.371,0.171,3.412,0.225,5,27,35,32,47.9,0.26,0,0.5,0.3,0.71,0,31.4,64,140,28,1.44,1.38,0.1,18.3,214,806,0,0,0,54.28,0,1,4,627.5,371.5,,,12.64
320,Ham salad sandwich on white,Deli and cured meat sandwiches,3740,242,0,11.98,18.29,3.15,1,13.26,2.498,3.401,6.902,25,2,8,5,60,12,0,68,0.408,0.18,3.371,0.202,29,16,64,44,45.7,0.26,0,0.5,0.3,0.67,0,29.6,81,122,19,1.5,1.22,0.077,16.8,191,809,0,0,0,53.86,0,1,4,630,373,,,11.98
321,Ham sandwich on wheat,Deli and cured meat sandwiches,3740,198.5,0,14.45,22.2,2.7,2.6,5.74,2.096,1.457,1.0715,25,20,20.5,0,7,0.5,0,32,0.3415,0.2485,4.88,0.2585,6.5,29,40.5,35.5,39.65,0.275,0,0.1,0.55,0.35,0,2.85,148.5,240,37.5,1.795,1.565,0.116,29,291,684,0,0,0,54.53,0,1,4,620.5,407,,,14.45
322,Ham sandwich on white,Deli and cured meat sandwiches,3740,200,0,13.51,24.005,2.765,1.1,5.56,2.144,1.4885,1.2165,25,20,20.5,0,6,0.5,0,22.5,0.394,0.2615,4.821,0.226,41,13,82.5,54,36.5,0.275,0,0,0.55,0.285,0,0.3,172,214.5,23.5,1.9,1.335,0.0835,26.9,257,689,0,0,0,53.93,0,1,4,625,410,,,13.51
323,Ham sandwich or sub,Deli and cured meat sandwiches,3740,194,0,13.965,21.275,2.49,1,5.86,2.3435,1.59,1.147,28,23,24,0,7,0.5,0,20,0.3805,0.264,4.808,0.2395,36.5,12,73.5,48,38.7,0.31,0,0,0.6,0.3,0,0.3,171,227,23.5,1.735,1.39,0.0795,27.25,271.5,715.5,0,0,0,55.795,0,1,4,607,398,,,13.965
324,Ham sandwich wrap,Deli and cured meat sandwiches,3740,230,0,13.54,22.51,2.05,1.5,9.38,4.244,2.349,1.387,30,40,41,0,12,1,0,7,0.362,0.288,4.279,0.199,35,9,68,44,32.4,0.38,0,0,0.8,0.23,0,3.6,204,286,22,1.9,1.33,0.071,26.1,252,825,0,0,0,51.22,0,1,4,715,470,,,13.54
326,Hamburger,Burgers,3702,278.3076923,0,17.05615385,21.72230769,3.162307692,1.338461538,13.20076923,4.961307692,5.233538462,1.118307692,45.30769231,0.076923077,0.461538462,0,4.307692308,0.076923077,120.5384615,13.84615385,0.240076923,0.212307692,4.807,0.268692308,18.07692308,30.30769231,61.07692308,48.38461538,47.63076923,1.497692308,0,0.384615385,0.092307692,0.133076923,0,3.584615385,75,147.8461538,25.53846154,2.805384615,3.063846154,0.102846154,23.93846154,231.7692308,360.9230769,0,0,0,46.20461538,0,1,6,859.9230769,566.6153846,,,17.05615385
327,Hamburger slider,Burgers,3702,286.5,0,16.515,24.445,3.55,0.85,13.035,4.9,5.136,1.2025,43,0,0,0,0,0,0,2.5,0.2805,0.2345,4.7435,0.2525,26,31,74.5,56.5,45.15,1.45,0,0.65,0.1,0.135,0,3.55,76,138,21,2.905,2.825,0.092,24.25,215,374.5,0,0,0,44.235,0,1,6,884.5,583,,,16.515
328,Hamburger wrap sandwich,Burgers,3702,299,0,16.86,20.38,1.53,1.4,16.06,6.354,6.193,1.328,49,0,0,0,0,0,0,4,0.225,0.219,4.923,0.279,33,18,74,51,46.9,1.55,0,0,0.1,0,0,4.3,67,187,20,2.91,3.05,0.088,21.8,230,440,0,0,0,44.71,0,1,6,922,608,,,16.86
331,Hot dog,Soy and meat-alternative products,2806,233,1,19.61,7.7,0,3.9,13.73,1.653,2.54,5.415,0,0,0,0,0,0,0,0,0.441,0.833,3.137,0.078,0,78,78,78,84.2,2.35,2.35,0,0,1.92,0,0,33,344,18,1.41,1.2,0.706,7.4,98,471,0,0,0,58,0,1,4,724,476,,,19.61
332,Hot dog sandwich,Frankfurter sandwiches,3703,265.9545455,0,11.74636364,21.19090909,2.995909091,1.636363636,14.80454545,4.917272727,5.637863636,2.320909091,35.54545455,3.454545455,3.454545455,0,0.454545455,0,0,16.13636364,0.234272727,0.223136364,3.340681818,0.106636364,16.81818182,23.04545455,51.68181818,39.86363636,36.25,0.565909091,0.119090909,2.177272727,0.4,0.477727273,0,2.009090909,100.3636364,147.4090909,22.59090909,2.018636364,1.490909091,0.129772727,17.90454545,237.4090909,642.5454545,0,0,0,49.73181818,0,1,4,822.8636365,541.909091,,,11.74636364
333,Huevos rancheros,Eggs and omelets,2502,121,0,6.68,8.85,2.26,1.7,6.65,1.691,2.475,1.735,175,76,90,0,157,6,3445,330,0.057,0.194,0.771,0.145,0,25,25,25,129.8,0.37,0,1,1.1,1.52,0,4.4,44,129,21,1.08,0.78,0.052,14.4,217,418,0,0,0,76.08,1,0,1,388,252,,,6.68
335,Idli,Rice mixed dishes,3202,128,0,6.36,24.98,1.85,5.8,0.35,0.056,0.09,0.142,0,0,0,0,3,0,0,0,0.122,0.04,0.676,0.042,0,39,39,39,21.7,0,0,0.2,0,0.04,0,3.1,10,67,25,0.89,0.86,0.141,3.5,233,252,0,0,0,67.21,1,0,3,409,266,,,6.36
336,Italian sandwich on wheat,Deli and cured meat sandwiches,3740,308,0,16.42,17.53,2.29,2,18.92,7.475,7.323,2.383,53,35,36,0,10,1,0,26,0.316,0.246,4.638,0.272,5,24,33,29,42.1,0.67,0,0,0.9,0.55,0,3.3,181,238,34,1.76,2.01,0.114,28.9,268,1006,0,0,0,43.33,0,1,4,949,626,,,16.42
337,Italian sandwich on white,Deli and cured meat sandwiches,3740,309,0,15.7,18.9,2.34,0.8,18.78,7.512,7.347,2.494,53,35,36,0,10,1,0,19,0.356,0.256,4.594,0.247,31,12,65,43,39.7,0.67,0,0,0.9,0.5,0,1.4,199,219,23,1.83,1.84,0.089,27.3,242,1010,0,0,0,42.87,0,1,4,952,628,,,15.7
338,Italian sandwich or sub,Deli and cured meat sandwiches,3740,313,0,16.23,16.42,2.11,0.7,20.05,8.112,7.853,2.529,57,40,41,0,11,1,0,17,0.342,0.258,4.54,0.257,27,11,56,38,41.5,0.73,0,0,1,0.53,0,1.5,205,230,23,1.7,1.92,0.086,27.6,251,1053,0,0,0,43.41,0,1,4,964,636,,,16.23
339,Italian sausage sandwich on wheat,Deli and cured meat sandwiches,3740,293,0,15.18,21.38,3.12,2.4,16.32,5.403,6.734,3.452,44,12,12,0,1,0,0,28,0.349,0.23,5.354,0.262,6,26,37,32,48.6,0.59,0,0.1,0.6,0.6,0,2.5,78,155,36,2.12,1.94,0.126,23.5,256,621,0,0,0,44.7,0,1,4,904,596,,,15.18
340,Italian sausage sandwich on white,Frankfurter sandwiches,3703,300,0,14.45,23.47,4.05,0.8,16.29,5.458,6.777,3.547,44,12,12,0,0,0,0,3,0.414,0.266,5.041,0.219,24,18,58,42,45.6,0.68,0,0.6,0.6,0.56,0,2.1,71,125,21,2.24,1.66,0.09,23.3,226,645,0,0,0,43.54,0,1,4,925,610,,,14.45
341,Jambalaya with meat and rice,Rice mixed dishes,3202,161,0,13.76,8.65,0.94,0.7,7.97,2.208,3.325,1.582,58,3,8,1,64,2,439,41,0.224,0.152,4.412,0.23,13,9,31,22,41.8,0.32,0,7.2,0.2,0.77,0,4,24,136,19,1.11,1.07,0.079,14.2,240,379,0,0,0,68.28,0,1,4,427.5,251.5,,,13.76
344,Kidney beans and brown rice,"Bean, pea, legume dishes",3102,155,1,5.81,23.02,0.27,4.5,4.63,0.641,1.817,1.787,0,0,0,0,0,0,0,0,0.12,0.043,1.148,0.084,0,71,71,71,19.9,0,0,0.6,0,0.84,0,8.7,18,118,41,1.8,0.85,0.173,2.7,257,211,0,0,0,65.2,0,1,4,412.5,242.5,,,5.81
345,Kidney beans and rice,"Bean, pea, legume dishes",3102,179,1,5.72,23.17,0.19,4.2,7.07,0.963,2.89,2.747,0,0,0,0,0,0,0,0,0.145,0.035,0.865,0.097,21,68,104,89,17.3,0,0,0.6,0,1.3,0,11.3,19,93,29,2.06,0.77,0.158,3.5,231,296,0,0,0,62.53,0,1,4,472.5,278.5,,,5.72
346,Kidney beans and white rice,"Bean, pea, legume dishes",3102,158,1,5.9,23.91,0.2,4.3,4.29,0.592,1.711,1.683,0,0,0,0,0,0,0,0,0.149,0.036,0.893,0.1,22,70,107,92,17.9,0,0,0.6,0,0.77,0,8.6,20,96,30,2.12,0.79,0.163,3.7,239,229,0,0,0,64.53,0,1,4,420,247,,,5.9
351,Lamb or mutton loaf,Meat mixed dishes,3002,192,0,14.05,7.44,4.69,0.3,11.58,4.826,4.7,0.988,85,28,35,14,57,33,0,75,0.077,0.198,3.419,0.084,2,15,19,17,67.8,1.27,0,0.5,0.5,0.24,0,11.4,50,136,17,1.29,2.4,0.074,16.8,210,467,0,0,0,65.18,0,1,6,601,394,,,14.05
352,Lamb or mutton with gravy,Meat mixed dishes,3002,219,0,17.29,1.58,0.09,0,15.37,6.341,6.45,1.173,69,0,0,0,0,0,0,0,0.077,0.19,4.724,0.098,0,13,13,13,66.4,1.78,0,0,0.1,0.13,0,3.4,15,137,17,1.34,3.13,0.089,18.5,228,359,0,0,0,64.37,0,1,6,682,448,,,17.29
353,Lamb shish kabob with vegetables,Meat mixed dishes,3002,162,0,12.02,5.06,2.37,0.8,10.28,4.104,4.29,1.007,44,0,10,2,110,27,0,33,0.071,0.175,3.518,0.148,0,20,20,20,47.3,1.16,0,15,0,0.32,0,6.9,18,111,17,1.02,2.17,0.119,13.9,265,222,0,0,0,71.5,0,1,6,430,253,,,12.02
354,Lasagna with chicken or turkey,"Pasta mixed dishes, excludes macaroni and cheese",3204,205,0,13.74,14.01,2.2,1,10.37,5.177,2.571,1.01,44,86,94,0,94,0,3042,56,0.09,0.234,2.34,0.156,13,13,36,26,19.9,0.48,0,0.7,0.2,0.9,0,4.4,266,247,25,0.85,1.78,0.079,21.1,198,387,0,0,0,59.85,0,1,5,1460,830,,,13.74
355,Lasagna with meat,"Pasta mixed dishes, excludes macaroni and cheese",3204,150.2,0,8.356,13.656,2.576,1.42,6.882,3.2846,2.257,0.4914,22.8,38.2,52.8,5,168.2,0.8,2700,112.2,0.1018,0.1262,1.4618,0.1106,12.8,7.4,29.2,20.2,19.72,0.6,0,2.44,0.04,0.744,0,4.38,127.2,135,18.8,0.832,1.1,0.074,15.86,198.4,380.4,0,0,0,69.422,0,1,5,475.6,310.4,,,8.356
356,Lasagna with meat and spinach,"Pasta mixed dishes, excludes macaroni and cheese",3204,207,0,13.33,13.76,2.16,1.1,10.79,5.438,2.917,0.748,42,82,98,0,200,1,2970,289,0.087,0.23,1.933,0.133,13,16,38,29,21.8,0.6,0,1.3,0.2,0.94,0,19.6,262,236,26,0.96,2.06,0.073,19.6,209,412,0,0,0,59.98,0,1,5,646,424,,,13.33
357,Lau lau,Seafood mixed dishes,3006,140,0,15.25,0,0,0,8.32,2.668,3.304,1.045,57,5,5,0,0,0,0,0,0.18,0.124,2.729,0.207,0,3,3,3,47.9,0.78,0,0.1,1.7,0.37,0,0,14,197,18,0.52,1.26,0.045,27.4,223,231,0,0,0,74.98,0,1,6,445,290,,,15.25
358,Lentil curry,"Bean, pea, legume dishes",3102,111,1,3.68,12.33,3.21,3.4,5.65,1.288,1.983,1.908,0,1,37,107,374,1,4468,73,0.07,0.062,0.806,0.131,0,63,63,63,19.1,0.01,0,7.7,0,1.41,0,8.6,25,78,23,1.42,0.59,0.154,1.5,292,383,0,0,0,76.63,0,1,4,358,232,,,3.68
359,Lentil curry with rice,"Bean, pea, legume dishes",3102,118,1,3.28,18.6,1.95,2.2,3.5,0.804,1.225,1.175,0,1,22,64,225,1,2681,44,0.107,0.042,1.07,0.115,22,39,76,61,12.3,0.01,0,4.6,0,0.86,0,5.2,19,64,19,1.33,0.55,0.12,3.9,189,328,0,0,0,73.18,0,1,4,320,187,,,3.28
361,Lobster gumbo,Seafood mixed dishes,3006,59,0,6.19,4.63,1.78,0.9,1.78,0.787,0.368,0.271,37,11,19,0,94,0,4159,66,0.032,0.056,1.561,0.073,1,21,23,22,29.2,0.38,0,3.7,0,0.74,0,8.7,55,75,22,0.67,1.15,0.455,17.7,229,288,0,0,0,85.88,0,1,6,202,128,,,6.19
362,Lobster salad,Seafood mixed dishes,3006,187,0,10.29,1.22,0.55,0.4,15.4,2.451,3.493,9.094,85,4,8,0,60,1,0,65,0.02,0.026,1.035,0.078,0,16,16,16,50.9,0.77,0,2.8,0,1.25,0,38.8,62,107,25,0.2,2.18,0.818,38.8,188,508,0,0,0,71.17,0,1,6,492.5,290.5,,,10.29
363,Lobster with bread stuffing,Seafood mixed dishes,3006,177,0,14.98,9.83,1.21,0.5,8.26,4.168,1.745,0.81,120,64,65,0,14,1,0,8,0.095,0.054,2.028,0.097,12,11,31,23,60,0.98,0,0.2,0,0.73,0,0.6,110,152,35,0.86,2.96,1.09,54.7,187,641,0,0,0,64.58,0,1,6,733,452.5,,,14.98
364,Lobster with sauce,Seafood mixed dishes,3006,154,0,10.75,3.94,2.24,0.9,10.55,1.681,6.966,1.177,77,1,12,11,135,1,4486,37,0.031,0.039,1.338,0.131,0,11,11,11,47.8,0.68,0,8.9,0,3.15,0,4.9,63,106,32,0.65,2.27,0.831,38.8,282,719,0,0,0,72.11,0,1,6,487,318,,,10.75
365,Lomi salmon,Seafood mixed dishes,3006,60,0,7.55,3.31,1.82,1,1.86,0.321,0.439,0.544,19,6,30,48,268,0,1219,164,0.035,0.084,2.623,0.158,0,20,20,20,34.9,1.54,0,8.9,4.8,0.53,0,23.1,88,135,18,0.51,0.4,0.063,11.7,270,145,0,0,0,86.48,0,1,6,205,130,,,7.55
367,Luncheon slice,Soy and meat-alternative products,2806,189,0,17.78,4.44,2.22,1.1,11.11,1.338,2.055,4.383,0,0,0,0,0,0,0,0,4,0.302,11.11,0.889,0,100,100,100,105.3,4,4,0,0,3,0,0,41,442,23,1.8,1.6,0.908,7.4,200,711,0,0,0,65.01,0,1,4,592,388,,,17.78
368,Macaroni or noodles,Macaroni and cheese,3206,150.5,0,6.285,19.69,0.61,1.15,5.005,2.592,0.995,0.4105,16.5,41,41,0,1.5,0,0,4.5,0.168,0.1145,2.135,0.069,39,5,71,44,9,0.3,0,0.05,0.3,0.16,0,0.4,25.5,65,15,0.985,0.475,0.0695,24.55,57.5,256,0,0,0,68.055,0,1,3,476.5,311,,,6.285
369,Macaroni or noodles with cheese,Macaroni and cheese,3206,156.4285714,0,5.531428571,19.37714286,2.35,1.014285714,6.374285714,2.721428571,1.632428571,0.998428571,13.57142857,57.85714286,59,0.142857143,14.28571429,0.142857143,0,19.28571429,0.157714286,0.169714286,1.117285714,0.084571429,23,7.714285714,46.85714286,30.85714286,9.585714286,0.224285714,0,0.028571429,0.214285714,0.441428571,0,1.957142857,100.8571429,117.8571429,18.14285714,0.81,0.702857143,0.106571429,16.31428571,90.57142857,281.8571429,0,0,0,67.36,0,1,3,494.2857142,322.8571428,,,5.531428571
370,Macaroni or noodles with cheese and chicken or turkey,Macaroni and cheese,3206,178,0,12.53,14.82,2.31,0.7,7.61,2.702,2.235,1.172,49,52,54,0,21,0,0,3,0.161,0.17,3.202,0.177,26,5,49,32,32.3,0.32,0,0.1,0.2,0.58,0,2.5,44,149,18,0.69,0.85,0.063,18.4,131,229,0,0,0,63.94,0,1,4,1271,722,,,12.53
371,Macaroni or noodles with cheese and egg,Macaroni and cheese,3206,185,0,5.91,19,2.96,0.8,9.52,3.385,2.677,1.786,78,91,94,0,26,2,0,83,0.182,0.198,0.673,0.124,33,11,67,44,47.5,0.36,0,0.1,0.6,0.93,0,4.4,57,112,14,0.81,0.56,0.051,17.6,62,176,0,0,0,64.35,0,1,3,580,380,,,5.91
372,Macaroni or noodles with cheese and frankfurters or hot dogs,Macaroni and cheese,3206,209,0,6.17,18.71,3.08,0.8,12.25,4.935,4.021,1.224,24,61,63,0,25,0,0,4,0.172,0.16,1.057,0.13,31,3,56,35,17.1,0.39,0,0.1,0.4,0.64,0,3.5,50,105,14,0.76,0.77,0.058,14.2,106,299,0,0,0,61.32,0,1,4,652,428,,,6.17
